"Key","English","Hindi"
"temples.shilpa_c0","This was a practice borrowed from ancient Greek traditions and later attributed to India",""
"temples.shilpa_explain0","IIT Kanpur analysis revealed the pillar\",""
"temples.shilpa_q1","Wootz steel from South India was the original ""Damascus steel."" What did scientists discover in 2006?",""
"temples.shilpa_a1","Carbon nanotubes — found inside the ancient steel structure using electron microscopy (published in Nature)",""
"temples.shilpa_b1","Traces of diamond dust",""
"temples.shilpa_c1","A technique developed during the Mughal period, not from ancient India",""
"temples.shilpa_explain1","Indian blacksmiths accidentally created carbon nanotubes ~300 BCE through their crucible process. The West couldn\",""
"temples.shilpa_q2","Zinc smelting requires 907°C and downward distillation — an extremely difficult process. Where was it first industrialized?",""
"temples.shilpa_a2","Zawar mines, Rajasthan — 4th century BCE. 1,800 years before Europe achieved the same",""
"temples.shilpa_b2","Ancient Rome, 1st century CE",""
"temples.shilpa_c2","This was primarily a Chinese innovation that reached India through trade routes",""
"temples.shilpa_explain2","The Zawar mines had extensive retort furnaces. Zinc vaporizes at 907°C and must be collected by downward condensation — Indian metallurgists solved this uniquely.",""
"temples.shilpa_q3","The Thanjavur Brihadeeswarar Temple\",""
"temples.shilpa_a3","A 6.5 km inclined ramp — no cranes, no modern equipment. The engineering precision exceeds most modern temples",""
"temples.shilpa_b3","Elephants lifted it",""
"temples.shilpa_c3","A medieval European concept that was later projected onto ancient Indian texts",""
"temples.shilpa_explain3","Raja Raja Chola\",""
"temples.shilpa_q4","Chand Baori in Rajasthan is an inverted pyramid stepwell descending 30 meters. How many steps does it have?",""
"temples.shilpa_a4","3,500 steps in 13 levels — with passive cooling that keeps the bottom 5-6°C cooler than the surface",""
"temples.shilpa_b4","About 200 steps",""
"temples.shilpa_c4","This knowledge was preserved only in oral tradition and has no archaeological evidence",""
"temples.shilpa_explain4","Built in the 8th century, stepwells were sophisticated water harvesting + cooling systems. The geometry creates natural convection currents.",""
"temples.shilpa_q5","The Harappan city of Dholavira (3000 BCE) had something remarkable about its water management. What?",""
"temples.shilpa_a5","16 reservoirs, storm water channels, and a water management system more sophisticated than many modern Indian cities",""
"temples.shilpa_b5","An aqueduct system copied from Rome",""
"temples.shilpa_c5","A practice limited to royal courts and never reached common people",""
"temples.shilpa_explain5","Dholavira existed 2,000 years before Rome. Its cascading reservoir system harvested every drop of monsoon rain in an arid desert.",""
"temples.shilpa_q6","Dhaka Muslin was a fabric so fine that a 50-yard sari could pass through a finger ring. What happened to it?",""
"temples.shilpa_a6","The British deliberately destroyed the Phuti Karpas cotton plant and cut off weavers\",""
"temples.shilpa_b6","The technique was simply forgotten over time",""
"temples.shilpa_c6","This was developed by Persian scholars who studied at Indian universities",""
"temples.shilpa_explain6","Under British rule, Bengal\",""
"temples.shilpa_q7","Konark Sun Temple\",""
"temples.shilpa_a7","Accurate sundials — the 24 wheels and their spokes tell time to the minute using shadow positions",""
"temples.shilpa_b7","Prayer wheels like Tibetan ones",""
"temples.shilpa_c7","A symbolic representation in religious texts, not an actual scientific achievement",""
"temples.shilpa_explain7","Each wheel has 8 wider spokes (3-hour segments) and 8 thinner spokes (1.5-hour intervals). Shadows on the spokes indicate exact time of day.",""
"temples.shilpa_q8","The Mehrauli Iron Pillar inscription mentions King Chandra. What makes its metallurgy unique globally?",""
"temples.shilpa_a8","It\",""
"temples.shilpa_b8","It contains small gemstones",""
"temples.shilpa_c8","This technology was lost during the Gupta period and never recovered",""
"temples.shilpa_explain8","Forging 6 tonnes of iron into one seamless pillar required extraordinary temperature control, hammering coordination, and metallurgical knowledge.",""
"temples.shilpa_q9","Ancient Indian builders used what natural material as earthquake-resistant mortar in many temples?",""
"temples.shilpa_a9","Jaggery, limestone, and plant extracts — a bio-composite mortar that absorbs seismic energy",""
"temples.shilpa_b9","Pure cement",""
"temples.shilpa_c9","A later addition to the texts, not part of the original ancient knowledge",""
"temples.shilpa_explain9","Traditional ""Surkhi"" mortar (lime + brick dust + jaggery + plant fibers) creates flexible bonds that dissipate seismic waves — many ancient temples survived quakes that destroyed modern buildings.",""
"temples.shilpa_q10","The Jantar Mantar observatories built by Maharaja Jai Singh II (1724-1735) achieved what precision?",""
"temples.shilpa_a10","Measured celestial positions to within 2 seconds of arc — comparable to telescopic instruments of that era",""
"temples.shilpa_b10","Only approximate readings",""
"temples.shilpa_c10","This was a theoretical concept that was never practically implemented",""
"temples.shilpa_explain10","The Samrat Yantra at Jaipur is the world\",""
"temples.shilpa_q11","What is special about the floating stones of Rameshwaram (described in the Ramayana)?",""
"temples.shilpa_a11","The pumice-like stones of Adam\",""
"temples.shilpa_b11","It\",""
"temples.shilpa_c11","A later reconstruction by scholars, not part of the original ancient tradition",""
"temples.shilpa_explain11","NASA satellite imagery confirms a 48-km chain of limestone shoals. Geological dating suggests parts are 7,000+ years old, roughly matching Ramayana timelines.",""
"temples.shilpa_q12","The Indus Valley civilization (3300-1300 BCE) had a standardized system of what?",""
"temples.shilpa_a12","Weights and measures — perfectly cubic stone weights in ratios of 1:2:4:8:16:32, uniform across 1,500 km",""
"temples.shilpa_b12","Currency coins",""
"temples.shilpa_c12","A folk tradition with no basis in systematic scientific observation",""
"temples.shilpa_explain12","This level of standardization across hundreds of cities implies centralized quality control. The weight system was based on a unit of ~13.7 grams.",""
"temples.shilpa_q13","What makes the acoustics of the Gol Gumbaz dome in Bijapur extraordinary?",""
"temples.shilpa_a13","A whisper on one side can be heard clearly at the opposite end — 37 meters away. Sound echoes 7 times",""
"temples.shilpa_b13","It amplifies music",""
"temples.shilpa_c13","This knowledge existed only in one small region and was not widespread",""
"temples.shilpa_explain13","The second-largest dome ever built (after St. Peter\",""
"temples.shilpa_q14","Ancient Indian shipbuilders at Lothal (2400 BCE) created the world\",""
"temples.shilpa_a14","Tidal dock — a brick structure that used tidal flow to float ships in and out for loading/unloading",""
"temples.shilpa_b14","Lighthouse",""
"temples.shilpa_c14","A 19th-century reconstruction by colonial scholars, not genuinely ancient",""
"temples.shilpa_explain14","Lothal\",""
"temples.shilpa_q15","The Qutub Minar\",""
"temples.shilpa_a15","Passivation — the phosphorus in Indian iron forms a protective amorphous layer that prevents oxygen from reaching the core",""
"temples.shilpa_b15","It\",""
"temples.shilpa_c15","A later reconstruction by scholars, not part of the original ancient tradition",""
"temples.shilpa_explain15","Indian blacksmiths unknowingly mastered passivation chemistry. Modern stainless steel uses chromium for the same principle — forming a self-healing oxide layer.",""
"temples.shilpa_q16","The Brihadisvara Temple in Thanjavur casts no shadow at noon on equinox days. Is this intentional?",""
"temples.shilpa_a16","Yes — the Vimana (tower) is precisely aligned so that on equinox days, the structure\",""
"temples.shilpa_b16","It\",""
"temples.shilpa_c16","A later reconstruction by scholars, not part of the original ancient tradition",""
"temples.shilpa_explain16","This requires exact astronomical calculation of latitude, tower angle, and height. Chola architects integrated astronomy directly into architecture.",""
"temples.shilpa_q17","What is ""Vastu Shastra"" and how does it relate to modern building science?",""
"temples.shilpa_a17","Ancient Indian architecture science that optimizes orientation, ventilation, light, and spatial energy — many principles align with modern sustainable design",""
"temples.shilpa_b17","Just a superstition about directions",""
"temples.shilpa_c17","This was adapted from Babylonian sources and modified for Indian context",""
"temples.shilpa_explain17","Vastu\",""
"temples.shilpa_q18","The Chola dynasty built what engineering marvel that connected water systems across Tamil Nadu?",""
"temples.shilpa_a18","The Grand Anicut (Kallanai) — a 329m dam across the Kaveri river, built 2nd century CE, still functioning today",""
"temples.shilpa_b18","Underground canals",""
"temples.shilpa_c18","A mythological reference, not a literal scientific achievement",""
"temples.shilpa_explain18","Built by Karikala Chola ~2,000 years ago, the Grand Anicut is one of the oldest water-regulation structures in the world still in use.",""
"temples.shilpa_q19","Rani ki Vav (Gujarat, 11th century) was designed as an ""inverted temple."" What UNESCO noted about it?",""
"temples.shilpa_a19","It\",""
"temples.shilpa_b19","It\",""
"temples.shilpa_c19","A later reconstruction by scholars, not part of the original ancient tradition",""
"temples.shilpa_explain19","UNESCO inscribed it in 2014. The stepwell descends 30m through ornately carved levels, each cooler than the last — functioning as both temple and AC system.",""
"temples.ganita_q0","Aryabhata gave the world the concept of zero (shunya). But what else did he contribute to the number system?",""
"temples.ganita_a0","The place-value system — the idea that a digit\",""
"temples.ganita_b0","Roman numerals",""
"temples.ganita_c0","This was achieved through trial and error, not systematic understanding",""
"temples.ganita_explain0","Without place-value, you can\",""
"temples.ganita_q1","The Pythagorean theorem (a² + b² = c²) appears in which Indian text, centuries before Pythagoras?",""
"temples.ganita_a1","Baudhayana\",""
"temples.ganita_b1","The Rigveda",""
"temples.ganita_c1","A practice that modern science has found to have no measurable effect",""
"temples.ganita_explain1","Baudhayana stated this for altar construction. Pythagoras lived ~570-495 BCE. The Indian formulation predates him by 200-300 years.",""
"temples.ganita_q2","Pingala\",""
"temples.ganita_a2","Binary numbers (0 and 1) — the foundation of all computing. Pingala called them ""laghu"" and ""guru""",""
"temples.ganita_b2","The abacus",""
"temples.ganita_c2","This knowledge was common across all ancient civilizations simultaneously",""
"temples.ganita_explain2","Pingala developed binary enumeration for Sanskrit prosody 1,800 years before Leibniz. He also described what we now call the Fibonacci sequence.",""
"temples.ganita_q3","Brahmagupta (628 CE) was the first mathematician to formally do what with zero?",""
"temples.ganita_a3","Define rules for arithmetic with zero AND negative numbers — zero plus zero equals zero, a number minus itself equals zero",""
"temples.ganita_b3","Use zero as a placeholder",""
"temples.ganita_c3","A later interpolation added to manuscripts during medieval copying",""
"temples.ganita_explain3","His Brahmasphutasiddhanta contains the first rules for operations with zero and negative numbers. He also solved quadratic equations with two unknowns.",""
"temples.ganita_q4","Bhaskara II (1114 CE) described concepts of differential calculus. How many years before Newton and Leibniz?",""
"temples.ganita_a4","About 500 years — he computed derivatives of trigonometric functions and used infinitesimals in his Siddhanta Shiromani",""
"temples.ganita_b4","About 50 years",""
"temples.ganita_c4","This was a practice borrowed from ancient Greek traditions and later attributed to India",""
"temples.ganita_explain4","Bhaskara II\",""
"temples.ganita_q5","The decimal system we use globally today originated in India and reached Europe through whom?",""
"temples.ganita_a5","Arab mathematicians — who called them ""Hindu numerals."" In Europe they became known as ""Arabic numerals""",""
"temples.ganita_b5","The Greeks",""
"temples.ganita_c5","A technique developed during the Mughal period, not from ancient India",""
"temples.ganita_explain5","Al-Khwarizmi\",""
"temples.ganita_q6","Ramanujan, the self-taught mathematical genius from Kumbakonam, produced how many theorems in his short 32-year life?",""
"temples.ganita_a6","Nearly 3,900 results — many so advanced that mathematicians are still proving them correct 100 years later",""
"temples.ganita_b6","About 200",""
"temples.ganita_c6","This was primarily a Chinese innovation that reached India through trade routes",""
"temples.ganita_explain6","Ramanujan\",""
"temples.ganita_q7","What mathematical concept did Jain mathematicians describe in the Surya Prajnapti (~400 BCE)?",""
"temples.ganita_a7","Different types of infinity — they classified infinity into enumerable, innumerable, and infinite categories",""
"temples.ganita_b7","Geometry",""
"temples.ganita_c7","A medieval European concept that was later projected onto ancient Indian texts",""
"temples.ganita_explain7","While the West grappled with infinity much later (Cantor, 19th century), Jain mathematicians were classifying transfinite numbers 2,300 years earlier.",""
"temples.ganita_q8","The Kerala School of Mathematics (1300-1600 CE) discovered what, 200 years before European mathematicians?",""
"temples.ganita_a8","Infinite series expansions for pi, sine, cosine, and arctangent — the foundation of calculus",""
"temples.ganita_b8","Probability theory",""
"temples.ganita_c8","This knowledge was preserved only in oral tradition and has no archaeological evidence",""
"temples.ganita_explain8","Madhava of Sangamagrama and his successors discovered Taylor series expansions centuries before Taylor, Gregory, and Leibniz. This is documented in Yuktibhasa (1530).",""
"temples.ganita_q9","What is the significance of ""Vedic Mathematics"" as systematized by Bharati Krishna Tirtha?",""
"temples.ganita_a9","16 sutras (formulas) that provide mental shortcuts for arithmetic — multiplication, division, squares, cubes can be done faster than a calculator",""
"temples.ganita_b9","Ancient calendar calculations",""
"temples.ganita_c9","A practice limited to royal courts and never reached common people",""
"temples.ganita_explain9","Vedic Math techniques like Nikhilam (for multiplication near bases of 10) and Urdhva Tiryak (crosswise multiplication) are now taught globally for competitive math.",""
"temples.ganita_q10","Aryabhata approximated pi (π) as 3.1416 in 499 CE. How accurate is this?",""
"temples.ganita_a10","Correct to 4 decimal places — extraordinary for the 5th century. He also stated it was ""approaching"" (asanna), implying he knew it was irrational",""
"temples.ganita_b10","It was a rough estimate",""
"temples.ganita_c10","This was developed by Persian scholars who studied at Indian universities",""
"temples.ganita_explain10","Aryabhata\",""
"temples.ganita_q11","The concept of ""algorithms"" is named after Al-Khwarizmi. But his work was based on which Indian source?",""
"temples.ganita_a11","Brahmagupta\",""
"temples.ganita_b11","Greek mathematics",""
"temples.ganita_c11","A symbolic representation in religious texts, not an actual scientific achievement",""
"temples.ganita_explain11","The word ""algorithm"" derives from Al-Khwarizmi\",""
"temples.ganita_q12","Ancient Indian mathematicians used what unique method to express large numbers?",""
"temples.ganita_a12","Word-numerals (Bhutasamkhya) — poetic words represent numbers: ""eyes"" = 2, ""Vedas"" = 4, ""senses"" = 5, ""seasons"" = 6",""
"temples.ganita_b12","Tally marks on bark",""
"temples.ganita_c12","This technology was lost during the Gupta period and never recovered",""
"temples.ganita_explain12","This allowed numbers to be embedded in poetry for oral transmission. A verse about the Moon could simultaneously encode a mathematical constant.",""
"temples.ganita_q13","Mahavira (9th century CE) provided the first known formula for what mathematical operation?",""
"temples.ganita_a13","Combinations and permutations — calculating how many ways items can be arranged or selected",""
"temples.ganita_b13","Long division",""
"temples.ganita_c13","A later addition to the texts, not part of the original ancient knowledge",""
"temples.ganita_explain13","Mahavira\",""
"temples.ganita_q14","What did Brahmagupta prove about cyclic quadrilaterals that Western math took 1,000 years to rediscover?",""
"temples.ganita_a14","Brahmagupta\",""
"temples.ganita_b14","That they have parallel sides",""
"temples.ganita_c14","This was a theoretical concept that was never practically implemented",""
"temples.ganita_explain14","His formula A = √[(s-a)(s-b)(s-c)(s-d)] for cyclic quadrilaterals is still taught in advanced geometry. Heron\",""
"temples.ganita_q15","The Bakhshali manuscript (found near Peshawar) contains the oldest known Indian use of what symbol?",""
"temples.ganita_a15","A dot (bindu) representing zero — carbon-dated to 224-383 CE, making it among the oldest zero symbols in the world",""
"temples.ganita_b15","The equals sign",""
"temples.ganita_c15","A folk tradition with no basis in systematic scientific observation",""
"temples.ganita_explain15","This birch-bark manuscript was found in 1881 and carbon-dated by Oxford in 2017. It shows the placeholder dot that evolved into our modern ""0.""",""
"temples.ganita_q16","Indian mathematicians calculated the Earth\",""
"temples.ganita_a16","39,968 km — only 0.2% off the modern value of 40,075 km, calculated purely through mathematics and observation",""
"temples.ganita_b16","Off by about 20%",""
"temples.ganita_c16","This knowledge existed only in one small region and was not widespread",""
"temples.ganita_explain16","Aryabhata used shadow measurements, astronomical observations, and trigonometry. His precision without any modern instruments is astonishing.",""
"temples.ganita_q17","What mathematical innovation in Pingala\",""
"temples.ganita_a17","Meru Prastara — the triangular arrangement of binomial coefficients, used for counting metrical patterns in poetry",""
"temples.ganita_b17","Multiplication tables",""
"temples.ganita_c17","A 19th-century reconstruction by colonial scholars, not genuinely ancient",""
"temples.ganita_explain17","What the West calls ""Pascal\",""
"temples.ganita_q18","Nilakantha Somayaji of the Kerala School (1444-1544 CE) developed what model of the solar system?",""
"temples.ganita_a18","A partially heliocentric model — Mercury and Venus orbit the Sun, which orbits Earth. More accurate than Copernicus\",""
"temples.ganita_b18","A fully geocentric model",""
"temples.ganita_c18","This was adapted from Babylonian sources and modified for Indian context",""
"temples.ganita_explain18","Nilakantha\",""
"temples.ganita_q19","The ancient Indian concept of ""Shunya"" (zero/void) influenced which philosophical and mathematical traditions?",""
"temples.ganita_a19","Buddhist Shunyata (emptiness), Arabic algebra (sifr → cipher → zero), and the entire foundation of modern computing (binary: 0 and 1)",""
"temples.ganita_b19","Only Indian mathematics",""
"temples.ganita_c19","A mythological reference, not a literal scientific achievement",""
