"Key","English","Hindi"
"temples.vaidya_q0","[Question 0]",""
"temples.vaidya_a0","[Correct answer 0]",""
"temples.vaidya_b0","[Wrong answer 0]",""
"temples.vaidya_c0","[Wrong answer 2 0]",""
"temples.vaidya_explain0","[Explanation 0]",""
"temples.vaidya_q1","[Question 1]",""
"temples.vaidya_a1","[Correct answer 1]",""
"temples.vaidya_b1","[Wrong answer 1]",""
"temples.vaidya_c1","[Wrong answer 2 1]",""
"temples.vaidya_explain1","[Explanation 1]",""
"temples.vaidya_q2","[Question 2]",""
"temples.vaidya_a2","[Correct answer 2]",""
"temples.vaidya_b2","[Wrong answer 2]",""
"temples.vaidya_c2","[Wrong answer 2 2]",""
"temples.vaidya_explain2","[Explanation 2]",""
"temples.vaidya_q3","[Question 3]",""
"temples.vaidya_a3","[Correct answer 3]",""
"temples.vaidya_b3","[Wrong answer 3]",""
"temples.vaidya_c3","[Wrong answer 2 3]",""
"temples.vaidya_explain3","[Explanation 3]",""
"temples.vaidya_q4","[Question 4]",""
"temples.vaidya_a4","[Correct answer 4]",""
"temples.vaidya_b4","[Wrong answer 4]",""
"temples.vaidya_c4","[Wrong answer 2 4]",""
"temples.vaidya_explain4","[Explanation 4]",""
"temples.vaidya_q5","[Question 5]",""
"temples.vaidya_a5","[Correct answer 5]",""
"temples.vaidya_b5","[Wrong answer 5]",""
"temples.vaidya_c5","[Wrong answer 2 5]",""
"temples.vaidya_explain5","[Explanation 5]",""
"temples.vaidya_q6","[Question 6]",""
"temples.vaidya_a6","[Correct answer 6]",""
"temples.vaidya_b6","[Wrong answer 6]",""
"temples.vaidya_c6","[Wrong answer 2 6]",""
"temples.vaidya_explain6","[Explanation 6]",""
"temples.vaidya_q7","[Question 7]",""
"temples.vaidya_a7","[Correct answer 7]",""
"temples.vaidya_b7","[Wrong answer 7]",""
"temples.vaidya_c7","[Wrong answer 2 7]",""
"temples.vaidya_explain7","[Explanation 7]",""
"temples.vaidya_q8","[Question 8]",""
"temples.vaidya_a8","[Correct answer 8]",""
"temples.vaidya_b8","[Wrong answer 8]",""
"temples.vaidya_c8","[Wrong answer 2 8]",""
"temples.vaidya_explain8","[Explanation 8]",""
"temples.vaidya_q9","[Question 9]",""
"temples.vaidya_a9","[Correct answer 9]",""
"temples.vaidya_b9","[Wrong answer 9]",""
"temples.vaidya_c9","[Wrong answer 2 9]",""
"temples.vaidya_explain9","[Explanation 9]",""
"temples.vaidya_q10","[Question 10]",""
"temples.vaidya_a10","[Correct answer 10]",""
"temples.vaidya_b10","[Wrong answer 10]",""
"temples.vaidya_c10","[Wrong answer 2 10]",""
"temples.vaidya_explain10","[Explanation 10]",""
"temples.vaidya_q11","[Question 11]",""
"temples.vaidya_a11","[Correct answer 11]",""
"temples.vaidya_b11","[Wrong answer 11]",""
"temples.vaidya_c11","[Wrong answer 2 11]",""
"temples.vaidya_explain11","[Explanation 11]",""
"temples.vaidya_q12","[Question 12]",""
"temples.vaidya_a12","[Correct answer 12]",""
"temples.vaidya_b12","[Wrong answer 12]",""
"temples.vaidya_c12","[Wrong answer 2 12]",""
"temples.vaidya_explain12","[Explanation 12]",""
"temples.vaidya_q13","[Question 13]",""
"temples.vaidya_a13","[Correct answer 13]",""
"temples.vaidya_b13","[Wrong answer 13]",""
"temples.vaidya_c13","[Wrong answer 2 13]",""
"temples.vaidya_explain13","[Explanation 13]",""
"temples.vaidya_q14","[Question 14]",""
"temples.vaidya_a14","[Correct answer 14]",""
"temples.vaidya_b14","[Wrong answer 14]",""
"temples.vaidya_c14","[Wrong answer 2 14]",""
"temples.vaidya_explain14","[Explanation 14]",""
"temples.vaidya_q15","[Question 15]",""
"temples.vaidya_a15","[Correct answer 15]",""
"temples.vaidya_b15","[Wrong answer 15]",""
"temples.vaidya_c15","[Wrong answer 2 15]",""
"temples.vaidya_explain15","[Explanation 15]",""
"temples.vaidya_q16","[Question 16]",""
"temples.vaidya_a16","[Correct answer 16]",""
"temples.vaidya_b16","[Wrong answer 16]",""
"temples.vaidya_c16","[Wrong answer 2 16]",""
"temples.vaidya_explain16","[Explanation 16]",""
"temples.vaidya_q17","[Question 17]",""
"temples.vaidya_a17","[Correct answer 17]",""
"temples.vaidya_b17","[Wrong answer 17]",""
"temples.vaidya_c17","[Wrong answer 2 17]",""
"temples.vaidya_explain17","[Explanation 17]",""
"temples.vaidya_q18","[Question 18]",""
"temples.vaidya_a18","[Correct answer 18]",""
"temples.vaidya_b18","[Wrong answer 18]",""
"temples.vaidya_c18","[Wrong answer 2 18]",""
"temples.vaidya_explain18","[Explanation 18]",""
"temples.vaidya_q19","[Question 19]",""
"temples.vaidya_a19","[Correct answer 19]",""
"temples.vaidya_b19","[Wrong answer 19]",""
"temples.vaidya_c19","[Wrong answer 2 19]",""
"temples.vaidya_explain19","[Explanation 19]",""
"temples.shilpa_intro","[Extract from knowledgeTemples.js]",""
"temples.shilpa_lore","[Extract from knowledgeTemples.js]",""
"temples.shilpa_q0","[Question 0]",""
"temples.shilpa_a0","[Correct answer 0]",""
"temples.shilpa_b0","[Wrong answer 0]",""
"temples.shilpa_c0","[Wrong answer 2 0]",""
"temples.shilpa_explain0","[Explanation 0]",""
"temples.shilpa_q1","[Question 1]",""
"temples.shilpa_a1","[Correct answer 1]",""
"temples.shilpa_b1","[Wrong answer 1]",""
"temples.shilpa_c1","[Wrong answer 2 1]",""
"temples.shilpa_explain1","[Explanation 1]",""
"temples.shilpa_q2","[Question 2]",""
"temples.shilpa_a2","[Correct answer 2]",""
"temples.shilpa_b2","[Wrong answer 2]",""
"temples.shilpa_c2","[Wrong answer 2 2]",""
"temples.shilpa_explain2","[Explanation 2]",""
"temples.shilpa_q3","[Question 3]",""
"temples.shilpa_a3","[Correct answer 3]",""
"temples.shilpa_b3","[Wrong answer 3]",""
"temples.shilpa_c3","[Wrong answer 2 3]",""
"temples.shilpa_explain3","[Explanation 3]",""
"temples.shilpa_q4","[Question 4]",""
"temples.shilpa_a4","[Correct answer 4]",""
"temples.shilpa_b4","[Wrong answer 4]",""
"temples.shilpa_c4","[Wrong answer 2 4]",""
"temples.shilpa_explain4","[Explanation 4]",""
"temples.shilpa_q5","[Question 5]",""
"temples.shilpa_a5","[Correct answer 5]",""
"temples.shilpa_b5","[Wrong answer 5]",""
"temples.shilpa_c5","[Wrong answer 2 5]",""
"temples.shilpa_explain5","[Explanation 5]",""
"temples.shilpa_q6","[Question 6]",""
"temples.shilpa_a6","[Correct answer 6]",""
"temples.shilpa_b6","[Wrong answer 6]",""
"temples.shilpa_c6","[Wrong answer 2 6]",""
"temples.shilpa_explain6","[Explanation 6]",""
"temples.shilpa_q7","[Question 7]",""
"temples.shilpa_a7","[Correct answer 7]",""
"temples.shilpa_b7","[Wrong answer 7]",""
"temples.shilpa_c7","[Wrong answer 2 7]",""
"temples.shilpa_explain7","[Explanation 7]",""
"temples.shilpa_q8","[Question 8]",""
"temples.shilpa_a8","[Correct answer 8]",""
"temples.shilpa_b8","[Wrong answer 8]",""
"temples.shilpa_c8","[Wrong answer 2 8]",""
"temples.shilpa_explain8","[Explanation 8]",""
"temples.shilpa_q9","[Question 9]",""
"temples.shilpa_a9","[Correct answer 9]",""
"temples.shilpa_b9","[Wrong answer 9]",""
"temples.shilpa_c9","[Wrong answer 2 9]",""
"temples.shilpa_explain9","[Explanation 9]",""
"temples.shilpa_q10","[Question 10]",""
"temples.shilpa_a10","[Correct answer 10]",""
"temples.shilpa_b10","[Wrong answer 10]",""
"temples.shilpa_c10","[Wrong answer 2 10]",""
"temples.shilpa_explain10","[Explanation 10]",""
"temples.shilpa_q11","[Question 11]",""
"temples.shilpa_a11","[Correct answer 11]",""
"temples.shilpa_b11","[Wrong answer 11]",""
"temples.shilpa_c11","[Wrong answer 2 11]",""
"temples.shilpa_explain11","[Explanation 11]",""
"temples.shilpa_q12","[Question 12]",""
"temples.shilpa_a12","[Correct answer 12]",""
"temples.shilpa_b12","[Wrong answer 12]",""
"temples.shilpa_c12","[Wrong answer 2 12]",""
"temples.shilpa_explain12","[Explanation 12]",""
"temples.shilpa_q13","[Question 13]",""
"temples.shilpa_a13","[Correct answer 13]",""
"temples.shilpa_b13","[Wrong answer 13]",""
"temples.shilpa_c13","[Wrong answer 2 13]",""
"temples.shilpa_explain13","[Explanation 13]",""
"temples.shilpa_q14","[Question 14]",""
"temples.shilpa_a14","[Correct answer 14]",""
"temples.shilpa_b14","[Wrong answer 14]",""
"temples.shilpa_c14","[Wrong answer 2 14]",""
"temples.shilpa_explain14","[Explanation 14]",""
"temples.shilpa_q15","[Question 15]",""
"temples.shilpa_a15","[Correct answer 15]",""
"temples.shilpa_b15","[Wrong answer 15]",""
"temples.shilpa_c15","[Wrong answer 2 15]",""
"temples.shilpa_explain15","[Explanation 15]",""
"temples.shilpa_q16","[Question 16]",""
"temples.shilpa_a16","[Correct answer 16]",""
"temples.shilpa_b16","[Wrong answer 16]",""
"temples.shilpa_c16","[Wrong answer 2 16]",""
"temples.shilpa_explain16","[Explanation 16]",""
"temples.shilpa_q17","[Question 17]",""
"temples.shilpa_a17","[Correct answer 17]",""
"temples.shilpa_b17","[Wrong answer 17]",""
"temples.shilpa_c17","[Wrong answer 2 17]",""
"temples.shilpa_explain17","[Explanation 17]",""
"temples.shilpa_q18","[Question 18]",""
"temples.shilpa_a18","[Correct answer 18]",""
"temples.shilpa_b18","[Wrong answer 18]",""
"temples.shilpa_c18","[Wrong answer 2 18]",""
"temples.shilpa_explain18","[Explanation 18]",""
"temples.shilpa_q19","[Question 19]",""
"temples.shilpa_a19","[Correct answer 19]",""
"temples.shilpa_b19","[Wrong answer 19]",""
"temples.shilpa_c19","[Wrong answer 2 19]",""
"temples.shilpa_explain19","[Explanation 19]",""
"temples.ganita_intro","[Extract from knowledgeTemples.js]",""
"temples.ganita_lore","[Extract from knowledgeTemples.js]",""
"temples.ganita_q0","[Question 0]",""
"temples.ganita_a0","[Correct answer 0]",""
"temples.ganita_b0","[Wrong answer 0]",""
"temples.ganita_c0","[Wrong answer 2 0]",""
"temples.ganita_explain0","[Explanation 0]",""
"temples.ganita_q1","[Question 1]",""
"temples.ganita_a1","[Correct answer 1]",""
"temples.ganita_b1","[Wrong answer 1]",""
"temples.ganita_c1","[Wrong answer 2 1]",""
"temples.ganita_explain1","[Explanation 1]",""
"temples.ganita_q2","[Question 2]",""
"temples.ganita_a2","[Correct answer 2]",""
"temples.ganita_b2","[Wrong answer 2]",""
"temples.ganita_c2","[Wrong answer 2 2]",""
"temples.ganita_explain2","[Explanation 2]",""
"temples.ganita_q3","[Question 3]",""
"temples.ganita_a3","[Correct answer 3]",""
"temples.ganita_b3","[Wrong answer 3]",""
"temples.ganita_c3","[Wrong answer 2 3]",""
"temples.ganita_explain3","[Explanation 3]",""
"temples.ganita_q4","[Question 4]",""
"temples.ganita_a4","[Correct answer 4]",""
"temples.ganita_b4","[Wrong answer 4]",""
"temples.ganita_c4","[Wrong answer 2 4]",""
"temples.ganita_explain4","[Explanation 4]",""
"temples.ganita_q5","[Question 5]",""
"temples.ganita_a5","[Correct answer 5]",""
"temples.ganita_b5","[Wrong answer 5]",""
"temples.ganita_c5","[Wrong answer 2 5]",""
"temples.ganita_explain5","[Explanation 5]",""
"temples.ganita_q6","[Question 6]",""
"temples.ganita_a6","[Correct answer 6]",""
"temples.ganita_b6","[Wrong answer 6]",""
"temples.ganita_c6","[Wrong answer 2 6]",""
"temples.ganita_explain6","[Explanation 6]",""
"temples.ganita_q7","[Question 7]",""
"temples.ganita_a7","[Correct answer 7]",""
"temples.ganita_b7","[Wrong answer 7]",""
"temples.ganita_c7","[Wrong answer 2 7]",""
"temples.ganita_explain7","[Explanation 7]",""
"temples.ganita_q8","[Question 8]",""
"temples.ganita_a8","[Correct answer 8]",""
"temples.ganita_b8","[Wrong answer 8]",""
"temples.ganita_c8","[Wrong answer 2 8]",""
"temples.ganita_explain8","[Explanation 8]",""
"temples.ganita_q9","[Question 9]",""
"temples.ganita_a9","[Correct answer 9]",""
"temples.ganita_b9","[Wrong answer 9]",""
"temples.ganita_c9","[Wrong answer 2 9]",""
"temples.ganita_explain9","[Explanation 9]",""
"temples.ganita_q10","[Question 10]",""
"temples.ganita_a10","[Correct answer 10]",""
"temples.ganita_b10","[Wrong answer 10]",""
"temples.ganita_c10","[Wrong answer 2 10]",""
"temples.ganita_explain10","[Explanation 10]",""
"temples.ganita_q11","[Question 11]",""
"temples.ganita_a11","[Correct answer 11]",""
"temples.ganita_b11","[Wrong answer 11]",""
"temples.ganita_c11","[Wrong answer 2 11]",""
"temples.ganita_explain11","[Explanation 11]",""
"temples.ganita_q12","[Question 12]",""
"temples.ganita_a12","[Correct answer 12]",""
"temples.ganita_b12","[Wrong answer 12]",""
"temples.ganita_c12","[Wrong answer 2 12]",""
"temples.ganita_explain12","[Explanation 12]",""
"temples.ganita_q13","[Question 13]",""
"temples.ganita_a13","[Correct answer 13]",""
"temples.ganita_b13","[Wrong answer 13]",""
"temples.ganita_c13","[Wrong answer 2 13]",""
"temples.ganita_explain13","[Explanation 13]",""
"temples.ganita_q14","[Question 14]",""
"temples.ganita_a14","[Correct answer 14]",""
"temples.ganita_b14","[Wrong answer 14]",""
"temples.ganita_c14","[Wrong answer 2 14]",""
"temples.ganita_explain14","[Explanation 14]",""
"temples.ganita_q15","[Question 15]",""
"temples.ganita_a15","[Correct answer 15]",""
"temples.ganita_b15","[Wrong answer 15]",""
"temples.ganita_c15","[Wrong answer 2 15]",""
"temples.ganita_explain15","[Explanation 15]",""
"temples.ganita_q16","[Question 16]",""
"temples.ganita_a16","[Correct answer 16]",""
"temples.ganita_b16","[Wrong answer 16]",""
"temples.ganita_c16","[Wrong answer 2 16]",""
"temples.ganita_explain16","[Explanation 16]",""
"temples.ganita_q17","[Question 17]",""
"temples.ganita_a17","[Correct answer 17]",""
"temples.ganita_b17","[Wrong answer 17]",""
"temples.ganita_c17","[Wrong answer 2 17]",""
"temples.ganita_explain17","[Explanation 17]",""
"temples.ganita_q18","[Question 18]",""
"temples.ganita_a18","[Correct answer 18]",""
"temples.ganita_b18","[Wrong answer 18]",""
"temples.ganita_c18","[Wrong answer 2 18]",""
"temples.ganita_explain18","[Explanation 18]",""
"temples.ganita_q19","[Question 19]",""
"temples.ganita_a19","[Correct answer 19]",""
"temples.ganita_b19","[Wrong answer 19]",""
"temples.ganita_c19","[Wrong answer 2 19]",""
"temples.ganita_explain19","[Explanation 19]",""
"temples.shabda_intro","[Extract from knowledgeTemples.js]",""
"temples.shabda_lore","[Extract from knowledgeTemples.js]",""
"temples.shabda_q0","[Question 0]",""
"temples.shabda_a0","[Correct answer 0]",""
"temples.shabda_b0","[Wrong answer 0]",""
"temples.shabda_c0","[Wrong answer 2 0]",""
"temples.shabda_explain0","[Explanation 0]",""
"temples.shabda_q1","[Question 1]",""
"temples.shabda_a1","[Correct answer 1]",""
"temples.shabda_b1","[Wrong answer 1]",""
"temples.shabda_c1","[Wrong answer 2 1]",""
"temples.shabda_explain1","[Explanation 1]",""
"temples.shabda_q2","[Question 2]",""
"temples.shabda_a2","[Correct answer 2]",""
"temples.shabda_b2","[Wrong answer 2]",""
"temples.shabda_c2","[Wrong answer 2 2]",""
"temples.shabda_explain2","[Explanation 2]",""
"temples.shabda_q3","[Question 3]",""
"temples.shabda_a3","[Correct answer 3]",""
"temples.shabda_b3","[Wrong answer 3]",""
"temples.shabda_c3","[Wrong answer 2 3]",""
"temples.shabda_explain3","[Explanation 3]",""
"temples.shabda_q4","[Question 4]",""
"temples.shabda_a4","[Correct answer 4]",""
"temples.shabda_b4","[Wrong answer 4]",""
"temples.shabda_c4","[Wrong answer 2 4]",""
"temples.shabda_explain4","[Explanation 4]",""
"temples.shabda_q5","[Question 5]",""
"temples.shabda_a5","[Correct answer 5]",""
"temples.shabda_b5","[Wrong answer 5]",""
"temples.shabda_c5","[Wrong answer 2 5]",""
"temples.shabda_explain5","[Explanation 5]",""
"temples.shabda_q6","[Question 6]",""
"temples.shabda_a6","[Correct answer 6]",""
"temples.shabda_b6","[Wrong answer 6]",""
"temples.shabda_c6","[Wrong answer 2 6]",""
"temples.shabda_explain6","[Explanation 6]",""
"temples.shabda_q7","[Question 7]",""
"temples.shabda_a7","[Correct answer 7]",""
"temples.shabda_b7","[Wrong answer 7]",""
"temples.shabda_c7","[Wrong answer 2 7]",""
"temples.shabda_explain7","[Explanation 7]",""
"temples.shabda_q8","[Question 8]",""
"temples.shabda_a8","[Correct answer 8]",""
"temples.shabda_b8","[Wrong answer 8]",""
"temples.shabda_c8","[Wrong answer 2 8]",""
"temples.shabda_explain8","[Explanation 8]",""
"temples.shabda_q9","[Question 9]",""
"temples.shabda_a9","[Correct answer 9]",""
"temples.shabda_b9","[Wrong answer 9]",""
"temples.shabda_c9","[Wrong answer 2 9]",""
"temples.shabda_explain9","[Explanation 9]",""
"temples.shabda_q10","[Question 10]",""
"temples.shabda_a10","[Correct answer 10]",""
"temples.shabda_b10","[Wrong answer 10]",""
"temples.shabda_c10","[Wrong answer 2 10]",""
"temples.shabda_explain10","[Explanation 10]",""
"temples.shabda_q11","[Question 11]",""
"temples.shabda_a11","[Correct answer 11]",""
"temples.shabda_b11","[Wrong answer 11]",""
"temples.shabda_c11","[Wrong answer 2 11]",""
"temples.shabda_explain11","[Explanation 11]",""
"temples.shabda_q12","[Question 12]",""
"temples.shabda_a12","[Correct answer 12]",""
"temples.shabda_b12","[Wrong answer 12]",""
"temples.shabda_c12","[Wrong answer 2 12]",""
"temples.shabda_explain12","[Explanation 12]",""
"temples.shabda_q13","[Question 13]",""
"temples.shabda_a13","[Correct answer 13]",""
"temples.shabda_b13","[Wrong answer 13]",""
"temples.shabda_c13","[Wrong answer 2 13]",""
"temples.shabda_explain13","[Explanation 13]",""
"temples.shabda_q14","[Question 14]",""
"temples.shabda_a14","[Correct answer 14]",""
"temples.shabda_b14","[Wrong answer 14]",""
"temples.shabda_c14","[Wrong answer 2 14]",""
"temples.shabda_explain14","[Explanation 14]",""
"temples.shabda_q15","[Question 15]",""
"temples.shabda_a15","[Correct answer 15]",""
"temples.shabda_b15","[Wrong answer 15]",""
"temples.shabda_c15","[Wrong answer 2 15]",""
"temples.shabda_explain15","[Explanation 15]",""
"temples.shabda_q16","[Question 16]",""
"temples.shabda_a16","[Correct answer 16]",""
"temples.shabda_b16","[Wrong answer 16]",""
"temples.shabda_c16","[Wrong answer 2 16]",""
"temples.shabda_explain16","[Explanation 16]",""
"temples.shabda_q17","[Question 17]",""
"temples.shabda_a17","[Correct answer 17]",""
"temples.shabda_b17","[Wrong answer 17]",""
"temples.shabda_c17","[Wrong answer 2 17]",""
"temples.shabda_explain17","[Explanation 17]",""
"temples.shabda_q18","[Question 18]",""
"temples.shabda_a18","[Correct answer 18]",""
"temples.shabda_b18","[Wrong answer 18]",""
"temples.shabda_c18","[Wrong answer 2 18]",""
"temples.shabda_explain18","[Explanation 18]",""
"temples.shabda_q19","[Question 19]",""
"temples.shabda_a19","[Correct answer 19]",""
"temples.shabda_b19","[Wrong answer 19]",""
"temples.shabda_c19","[Wrong answer 2 19]",""
"temples.shabda_explain19","[Explanation 19]",""
"temples.jyotish_intro","[Extract from knowledgeTemples.js]",""
"temples.jyotish_lore","[Extract from knowledgeTemples.js]",""
"temples.jyotish_q0","[Question 0]",""
"temples.jyotish_a0","[Correct answer 0]",""
"temples.jyotish_b0","[Wrong answer 0]",""
"temples.jyotish_c0","[Wrong answer 2 0]",""
"temples.jyotish_explain0","[Explanation 0]",""
"temples.jyotish_q1","[Question 1]",""
"temples.jyotish_a1","[Correct answer 1]",""
"temples.jyotish_b1","[Wrong answer 1]",""
"temples.jyotish_c1","[Wrong answer 2 1]",""
"temples.jyotish_explain1","[Explanation 1]",""
"temples.jyotish_q2","[Question 2]",""
"temples.jyotish_a2","[Correct answer 2]",""
"temples.jyotish_b2","[Wrong answer 2]",""
"temples.jyotish_c2","[Wrong answer 2 2]",""
"temples.jyotish_explain2","[Explanation 2]",""
"temples.jyotish_q3","[Question 3]",""
"temples.jyotish_a3","[Correct answer 3]",""
"temples.jyotish_b3","[Wrong answer 3]",""
"temples.jyotish_c3","[Wrong answer 2 3]",""
"temples.jyotish_explain3","[Explanation 3]",""
"temples.jyotish_q4","[Question 4]",""
"temples.jyotish_a4","[Correct answer 4]",""
"temples.jyotish_b4","[Wrong answer 4]",""
