"Key","English","Hindi"
"cosmic.antarloka_14_fact","The Brahmi script (3rd century BCE) spawned the largest script family in history: Devanagari, Tamil, Thai, Tibetan, Javanese, Burmese, Khmer, and 40+ other scripts all descend from it.",""
"cosmic.antarloka_14_source","Paleography Studies",""
"cosmic.antarloka_15_title","Natya Shastra: Complete Art Theory",""
"cosmic.antarloka_15_fact","Bharata\",""
"cosmic.antarloka_15_source","Natya Shastra",""
"cosmic.antarloka_16_title","Fibonacci Was Indian First",""
"cosmic.antarloka_16_fact","What the West calls ""Pascal\",""
"cosmic.antarloka_16_source","Indian Mathematical Tradition",""
"cosmic.antarloka_17_title","Gut-Brain: Known for 3,000 Years",""
"cosmic.antarloka_17_fact","Charaka called the gut (Agni) the root of all health 2,300 years ago. Modern science\",""
"cosmic.antarloka_17_source","Charaka Samhita",""
"cosmic.antarloka_18_title","22 Microtones in Music",""
"cosmic.antarloka_18_fact","Indian music divides an octave into 22 Shrutis (micro-intervals) vs Western music\",""
"cosmic.antarloka_18_source","Natya Shastra, Ch. 28",""
"cosmic.antarloka_19_title","Lilavati: Math as Love Story",""
"cosmic.antarloka_19_fact","Bhaskara II named his famous mathematics textbook ""Lilavati"" after his daughter, making her name immortal through numbers. Every problem is framed as a poetic puzzle with bees, flowers, and pearls.",""
"cosmic.antarloka_19_source","Lilavati, 1150 CE",""
"cosmic.svargaloka_0_title","Earth Rotates: Known Since 499 CE",""
"cosmic.svargaloka_0_fact","Aryabhata stated Earth rotates on its axis in 499 CE — 1,044 years before Copernicus. He wrote: ""Just as a man in a boat sees trees moving backward, stationary stars appear to move westward.""",""
"cosmic.svargaloka_0_source","Aryabhatiya, Verse 9",""
"cosmic.svargaloka_1_title","1.4 Seconds of Accuracy",""
"cosmic.svargaloka_1_fact","The Surya Siddhanta calculated the sidereal year as 365.258756 days — off by only 1.4 seconds from the modern value. No telescopes, no satellites, pure mathematics.",""
"cosmic.svargaloka_1_source","Surya Siddhanta",""
"cosmic.svargaloka_2_title","Gravity Before Newton",""
"cosmic.svargaloka_2_fact","Brahmagupta (628 CE) described gravity: ""Objects fall to Earth due to its nature of attraction"" (gurutvaakarshana). Newton\",""
"cosmic.svargaloka_2_source","Brahmasphutasiddhanta",""
"cosmic.svargaloka_3_title","108: The Cosmic Number",""
"cosmic.svargaloka_3_fact","Sun\",""
"cosmic.svargaloka_3_source","Astronomical Measurements",""
"cosmic.svargaloka_4_title","Eclipse Prediction: Shadow Math",""
"cosmic.svargaloka_4_fact","Rahu and Ketu ARE the ascending/descending lunar nodes — mathematical points where the Moon\",""
"cosmic.svargaloka_4_source","Panchanga Tradition",""
"cosmic.svargaloka_5_title","Better Than Copernicus",""
"cosmic.svargaloka_5_fact","Nilakantha Somayaji (1501 CE) proposed a partially heliocentric model where Mercury and Venus orbit the Sun — more accurate than Copernicus\",""
"cosmic.svargaloka_5_source","Tantrasangraha",""
"cosmic.svargaloka_6_title","Speed of Light in the Vedas?",""
"cosmic.svargaloka_6_fact","Sayana\",""
"cosmic.svargaloka_6_source","Rig Veda Commentary",""
"cosmic.svargaloka_7_title","Sri Yantra: Sacred Geometry",""
"cosmic.svargaloka_7_fact","The Sri Yantra\",""
"cosmic.svargaloka_7_source","Kulaichev, 1984",""
"cosmic.svargaloka_8_title","World\",""
"cosmic.svargaloka_8_fact","Jaipur\",""
"cosmic.svargaloka_8_source","Jantar Mantar Records",""
"cosmic.svargaloka_9_title","29.6 Microsecond Time Unit",""
"cosmic.svargaloka_9_fact","The Surya Siddhanta defines ""Truti"" = 29.6 microseconds — an incredibly precise time unit with no practical daily use. Why would ancient astronomers need such a small unit? The question remains open.",""
"cosmic.svargaloka_9_source","Surya Siddhanta, Ch. 1",""
"cosmic.svargaloka_10_title","Precession: Known Anciently",""
"cosmic.svargaloka_10_fact","The Yuga system may encode knowledge of Earth\",""
"cosmic.svargaloka_10_source","Vedic Cosmology",""
"cosmic.svargaloka_11_title","Pi to 4 Decimal Places in 499 CE",""
"cosmic.svargaloka_11_fact","Aryabhata computed pi as 3.1416 — correct to 4 decimal places. He noted it was ""asanna"" (approaching), implying he knew pi was irrational — a concept Europe didn\",""
"cosmic.svargaloka_11_source","Aryabhatiya",""
"cosmic.svargaloka_12_title","27 Nakshatras: Stellar GPS",""
"cosmic.svargaloka_12_fact","The 27 Nakshatras divide the ecliptic into 13°20\",""
"cosmic.svargaloka_12_source","Vedanga Jyotisha",""
"cosmic.svargaloka_13_title","Panchanga: 5D Calendar",""
"cosmic.svargaloka_13_fact","The Hindu Panchanga simultaneously tracks 5 astronomical parameters: lunar day, Moon\",""
"cosmic.svargaloka_13_source","Siddhantic Astronomy",""
"cosmic.svargaloka_14_title","Elliptical Orbits Before Kepler",""
"cosmic.svargaloka_14_fact","Aryabhata\",""
"cosmic.svargaloka_14_source","Aryabhatiya",""
"cosmic.svargaloka_15_title","Ujjain: India\",""
"cosmic.svargaloka_15_fact","Ujjain served as India\",""
"cosmic.svargaloka_15_source","Siddhantic Tradition",""
"cosmic.svargaloka_16_title","2,000 Years of Continuous Astronomy",""
"cosmic.svargaloka_16_fact","From Lagadha\",""
"cosmic.svargaloka_16_source","History of Indian Astronomy",""
"cosmic.svargaloka_17_title","Sine Function: An Indian Invention",""
"cosmic.svargaloka_17_fact","The word ""sine"" comes from Sanskrit ""jya"" → Arabic ""jiba"" → Latin ""sinus"" → English ""sine."" Every time you use trigonometry, you\",""
"cosmic.svargaloka_17_source","Etymological Records",""
"cosmic.svargaloka_18_title","The Algorithm\",""
"cosmic.svargaloka_18_fact","Al-Khwarizmi\",""
"cosmic.svargaloka_18_source","Al-Khwarizmi, 825 CE",""
"cosmic.svargaloka_19_title","Shunya to Digital: One Thread",""
"cosmic.svargaloka_19_fact","Indian zero (Shunya) → Arabic sifr → Latin zephirum → Italian zero → Binary (0,1) → Digital computing. The entire digital revolution traces back to one Indian concept: the void has value.",""
"cosmic.svargaloka_19_source","History of Mathematics",""
